period_range,merchant,game_id,monthly_unique_users,active_days
20250901-20250930,1716179958,1698217737303,201109,30
20250901-20250930,1751602642,1698217741378,200346,30
20250901-20250930,1737978166,1698217738766,185361,30
20250901-20250930,1716179958,1698217741317,133430,30
20250901-20250930,1737978166,1698217738739,125072,30
20250901-20250930,1737978166,1698217739455,112981,30
20250901-20250930,1737978166,1698217741337,105122,30
20250901-20250930,1698203058,1698217738034,94190,30
20250901-20250930,1713329090,1698217738052,81031,30
20250901-20250930,1713329090,1698217738231,56849,30
20250901-20250930,1737978166,1698217740513,55722,30
20250901-20250930,1716179958,1698217738239,44235,30
20250901-20250930,1698203058,1698217738213,41861,30
20250901-20250930,1698203058,1698217737098,40185,30
20250901-20250930,1716179958,1698217739435,31962,30
20250901-20250930,1713329090,1698217738435,30819,30
20250901-20250930,1751602642,1698217740588,30518,30
20250901-20250930,1737978166,1698217741901,30025,30
20250901-20250930,1751602642,1698217740589,29765,30
20250901-20250930,1741762027,1698217738834,28550,30
20250901-20250930,1698203058,1698217738417,28248,30
20250901-20250930,1741762027,1698217738833,27976,30
20250901-20250930,1737978166,1698217738747,27145,30
20250901-20250930,1713329090,1698217737116,26193,30
20250901-20250930,1716179958,1698217737323,24945,30
20250901-20250930,1737978166,1698217740157,23817,30
20250901-20250930,1716179958,1698217739010,21830,30
20250901-20250930,1756280066,1698217743604,21592,30
20250901-20250930,1737978166,1698217741657,21321,30
20250901-20250930,1698203058,1698217738519,19858,18
20250901-20250930,1737978166,1698217738743,18181,30
20250901-20250930,1716179958,1698217737305,18136,30
20250901-20250930,1737978166,1698217738765,16398,30
20250901-20250930,1698203058,1698217736029,13476,30
20250901-20250930,1698202251,1698217738514,12234,30
20250901-20250930,1737978166,1698217738749,12083,30
20250901-20250930,1723801345,1698217738133,11880,30
20250901-20250930,1751632483,1698217741236,11388,30
20250901-20250930,1755248023,1698217743229,10543,30
20250901-20250930,1713329090,1698217737252,10278,30
20250901-20250930,1741762027,1698217739457,9778,30
20250901-20250930,1716179958,1698217737312,9591,30
20250901-20250930,1716179958,1698217737314,9543,30
20250901-20250930,1756280066,1698217743607,8736,30
20250901-20250930,1713329090,1698217738537,8240,30
20250901-20250930,1716179958,1698217737319,8137,30
20250901-20250930,1716179958,1698217737325,8088,30
20250901-20250930,1716179958,1698217738060,7869,30
20250901-20250930,1716179958,1698217737308,7037,30
20250901-20250930,1698203058,1698217737234,6970,30
20250901-20250930,1737978166,1698217738757,6937,30
20250901-20250930,1716179958,1698217737318,6876,30
20250901-20250930,1751602642,1698217740575,6837,30
20250901-20250930,1755248023,1698217743230,6785,30
20250901-20250930,1698202251,1698217738259,6775,30
20250901-20250930,1716179958,1698217737321,6598,30
20250901-20250930,1751632483,1698217741233,6380,30
20250901-20250930,1751602642,1698217740591,6084,30
20250901-20250930,1698203058,1698217737758,6009,30
20250901-20250930,1698202251,1698217738412,5797,30
20250901-20250930,1698202662,1698217738413,5794,30
20250901-20250930,1698203058,1698217737270,5783,30
20250901-20250930,1698202251,1698217738310,5525,30
20250901-20250930,1741762027,1698217741339,5489,30
20250901-20250930,1698202662,1698217738260,5419,30
20250901-20250930,1756280066,1698217743605,5312,30
20250901-20250930,1698203058,1698217738264,4993,30
20250901-20250930,1737978166,1698217738741,4838,30
20250901-20250930,1716179958,1698217737326,4691,30
20250901-20250930,1749463700,1698217739276,4573,30
20250901-20250930,1737978166,1698217738764,4478,30
20250901-20250930,1749463700,1698217741914,4461,30
20250901-20250930,1716179958,1698217737317,4377,30
20250901-20250930,1698202662,1698217738515,4330,30
20250901-20250930,1698202662,1698217736097,4290,30
20250901-20250930,1698203058,1698217738366,4290,30
20250901-20250930,1713329090,1698217736875,4283,30
20250901-20250930,1719571148,1698217738245,4047,30
20250901-20250930,1737978166,1698217738737,3976,30
20250901-20250930,1751632483,1698217741202,3923,30
20250901-20250930,1713329090,1698217738384,3908,30
20250901-20250930,1698203058,1698217736658,3889,30
20250901-20250930,1698203058,1698217736850,3849,30
20250901-20250930,1737978166,1698217738761,3848,30
20250901-20250930,1698203058,1698217739409,3754,30
20250901-20250930,1749463700,1698217739280,3668,30
20250901-20250930,1751602642,1698217740582,3529,30
20250901-20250930,1698203058,1698217736401,3452,30
20250901-20250930,1751602642,1698217740561,3451,30
20250901-20250930,1713329090,1698217739427,3383,30
20250901-20250930,1716179958,1698217740493,3351,30
20250901-20250930,1749463700,1698217739283,3349,30
20250901-20250930,1741762027,1698217738825,3263,30
20250901-20250930,1750762420,1698217740225,3250,30
20250901-20250930,1716179958,1698217737311,3242,30
20250901-20250930,1713329090,1698217741309,3219,30
20250901-20250930,1749463700,1698217739284,3091,30
20250901-20250930,1741762027,1698217738829,2886,30
20250901-20250930,1750762420,1698217740194,2832,30
20250901-20250930,1737978166,1698217738744,2775,30
20250901-20250930,1737978166,1698217738751,2719,30
20250901-20250930,1749463700,1698217744553,2570,5
20250901-20250930,1723801345,1698217738107,2535,30
20250901-20250930,1737978166,1698217740805,2524,30
20250901-20250930,1698203058,1698217737132,2496,30
20250901-20250930,1737978166,1698217738738,2386,30
20250901-20250930,1716179958,1698217740137,2299,30
20250901-20250930,1713329090,1698217738333,2296,30
20250901-20250930,1737978166,1698217738746,2245,30
20250901-20250930,1713329090,1698217738282,2204,30
20250901-20250930,1698203058,1698217738315,2202,30
20250901-20250930,1698202251,1698217740462,2168,30
20250901-20250930,1698203058,1698217738468,2141,30
20250901-20250930,1716179958,1698217737324,2140,30
20250901-20250930,1698202662,1698217739405,2065,30
20250901-20250930,1751602642,1698217740565,2020,30
20250901-20250930,1698203058,1698217737033,2013,30
20250901-20250930,1754281426,1698217743058,2011,30
20250901-20250930,1698202251,1698217739404,2004,30
20250901-20250930,1698203058,1698217741291,1996,30
20250901-20250930,1737978166,1698217738740,1967,30
20250901-20250930,1737978166,1698217738755,1880,30
20250901-20250930,1757302420,1698217743928,1873,23
20250901-20250930,1716179958,1698217737556,1864,30
20250901-20250930,1698202662,1698217738311,1860,30
20250901-20250930,1750762420,1698217740221,1788,30
20250901-20250930,1716179958,1698217739011,1734,30
20250901-20250930,1737978166,1698217738748,1730,30
20250901-20250930,1698202662,1698217740463,1720,30
20250901-20250930,1713329090,1698217736891,1702,30
20250901-20250930,1737978166,1698217738762,1688,30
20250901-20250930,1723801345,1698217738129,1687,30
20250901-20250930,1698202251,1698217738361,1676,30
20250901-20250930,1756280066,1698217743611,1663,30
20250901-20250930,1737978166,1698217739206,1651,28
20250901-20250930,1751602642,1698217740578,1596,30
20250901-20250930,1749463700,1698217743816,1595,26
20250901-20250930,1713329090,1698217738486,1551,30
20250901-20250930,1741762027,1698217740159,1548,30
20250901-20250930,1698203058,1698217736794,1481,30
20250901-20250930,1756280066,1698217743612,1476,30
20250901-20250930,1698202251,1698217738463,1454,30
20250901-20250930,1698203058,1698217736608,1452,30
20250901-20250930,1741762027,1698217739208,1450,30
20250901-20250930,1698203058,1698217737530,1427,30
20250901-20250930,1698202662,1698217738209,1369,30
20250901-20250930,1698202662,1698217737094,1333,30
20250901-20250930,1698203058,1698217736031,1314,30
20250901-20250930,1741762027,1698217741903,1304,30
20250901-20250930,1737978166,1698217742855,1270,30
20250901-20250930,1757302420,1698217743932,1249,22
20250901-20250930,1737978166,1698217738763,1247,30
20250901-20250930,1716179958,1698217737316,1243,30
20250901-20250930,1756280066,1698217743578,1232,30
20250901-20250930,1737978166,1698217738752,1227,28
20250901-20250930,1698202662,1698217740107,1223,30
20250901-20250930,1755248023,1698217743239,1222,30
20250901-20250930,1753353246,1698217743407,1211,30
20250901-20250930,1741932733,1698217741340,1200,30
20250901-20250930,1698203058,1698217736276,1199,30
20250901-20250930,1751602642,1698217740577,1199,30
20250901-20250930,1698202251,1698217740106,1195,30
20250901-20250930,1713329090,1698217736893,1188,30
20250901-20250930,1713329090,1698217736884,1185,30
20250901-20250930,1737978166,1698217738754,1185,30
20250901-20250930,1750762420,1698217740212,1175,30
20250901-20250930,1751632483,1698217741234,1138,30
20250901-20250930,1751602642,1698217740579,1130,30
20250901-20250930,1751602642,1698217740581,1128,30
20250901-20250930,1698202662,1698217738030,1123,30
20250901-20250930,1751602642,1698217740557,1078,30
20250901-20250930,1737978166,1698217738750,1069,30
20250901-20250930,1751632483,1698217741953,1055,30
20250901-20250930,1757302420,1698217743929,1039,23
20250901-20250930,1716179958,1698217737313,1033,30
20250901-20250930,1757738096,1698217743604,1032,15
20250901-20250930,1713329090,1698217740129,1015,30
20250901-20250930,1716179958,1698217737322,1013,30
20250901-20250930,1756280066,1698217743592,1010,30
20250901-20250930,1749463700,1698217739266,1007,30
20250901-20250930,1713329090,1698217740485,1004,30
20250901-20250930,1719571148,1698217738066,999,30
20250901-20250930,1698202662,1698217738362,990,30
20250901-20250930,1741762027,1698217738832,956,30
20250901-20250930,1719571148,1698217741323,948,30
20250901-20250930,1749463700,1698217740526,928,30
20250901-20250930,1737978166,1698217738753,921,30
20250901-20250930,1737978166,1698217738758,909,30
20250901-20250930,1741762027,1698217738807,900,30
20250901-20250930,1737978166,1698217738759,899,30
20250901-20250930,1741932733,1698217738841,899,30
20250901-20250930,1737978166,1698217738756,892,30
20250901-20250930,1751602642,1698217740572,889,30
20250901-20250930,1698202662,1698217737266,870,30
20250901-20250930,1737978166,1698217743803,865,27
20250901-20250930,1716179958,1698217739013,857,30
20250901-20250930,1751602642,1698217740567,851,30
20250901-20250930,1716179958,1698217737301,840,30
20250901-20250930,1755246422,1698217743163,836,21
20250901-20250930,1698202251,1698217737093,834,30
20250901-20250930,1716179958,1698217737594,832,30
20250901-20250930,1750762420,1698217740219,815,30
20250901-20250930,1716179958,1698217737328,804,30
20250901-20250930,1698202662,1698217738464,799,30
20250901-20250930,1741762027,1698217738830,792,30
20250901-20250930,1750413710,1698217739502,785,9
20250901-20250930,1756280066,1698217743598,772,30
20250901-20250930,1737978166,1698217738760,766,30
20250901-20250930,1698202251,1698217738029,764,30
20250901-20250930,1751632483,1698217741709,761,30
20250901-20250930,1716179958,1698217739008,760,30
20250901-20250930,1754281426,1698217743057,757,28
20250901-20250930,1756280066,1698217743582,752,30
20250901-20250930,1741762027,1698217743805,751,28
20250901-20250930,1713329090,1698217739178,750,30
20250901-20250930,1723801345,1698217738132,745,30
20250901-20250930,1755248023,1698217738867,739,18
20250901-20250930,1755248023,1698217743185,734,9
20250901-20250930,1751602642,1698217740587,728,30
20250901-20250930,1751632483,1698217741200,708,28
20250901-20250930,1698202662,1698217737230,702,30
20250901-20250930,1716179958,1698217737784,696,30
20250901-20250930,1698202251,1698217738208,692,30
20250901-20250930,1757738096,1698217743607,691,17
20250901-20250930,1756280066,1698217743572,681,30
20250901-20250930,1749463700,1698217741670,675,30
20250901-20250930,1698203058,1698217736310,651,30
20250901-20250930,1723801345,1698217738128,649,30
20250901-20250930,1698202251,1698217736114,647,30
20250901-20250930,1713329090,1698217737288,634,30
20250901-20250930,1755246422,1698217743195,627,20
20250901-20250930,1750762420,1698217740202,624,30
20250901-20250930,1755246422,1698217743184,612,20
20250901-20250930,1716179958,1698217737309,610,30
20250901-20250930,1750762420,1698217740206,609,30
20250901-20250930,1751632483,1698217741389,605,30
20250901-20250930,1716179958,1698217737302,603,30
20250901-20250930,1741762027,1698217738815,602,30
20250901-20250930,1754281426,1698217743027,601,29
20250901-20250930,1713329090,1698217740777,598,30
20250901-20250930,1719571148,1698217739441,594,30
20250901-20250930,1713329090,1698217741629,591,30
20250901-20250930,1713329090,1698217741873,589,30
20250901-20250930,1698202251,1698217737525,586,30
20250901-20250930,1737978166,1698217740907,585,30
20250901-20250930,1698203058,1698217736822,584,30
20250901-20250930,1749463700,1698217739279,579,30
20250901-20250930,1741762027,1698217738809,570,30
20250901-20250930,1698202662,1698217736846,567,30
20250901-20250930,1723801345,1698217738122,561,30
20250901-20250930,1716179958,1698217737315,560,30
20250901-20250930,1713329090,1698217743775,556,28
20250901-20250930,1751632483,1698217741201,535,28
20250901-20250930,1750413710,1698217739501,527,19
20250901-20250930,1698203058,1698217737987,523,30
20250901-20250930,1756280066,1698217743601,510,30
20250901-20250930,1755248023,1698217738868,508,18
20250901-20250930,1755246422,1698217743167,508,21
20250901-20250930,1751602642,1698217740573,496,30
20250901-20250930,1751602642,1698217740585,493,30
20250901-20250930,1741762027,1698217738831,488,30
20250901-20250930,1747388774,1698217739146,478,30
20250901-20250930,1749463700,1698217739285,477,30
20250901-20250930,1756280066,1698217743610,476,30
20250901-20250930,1755248023,1698217743186,472,9
20250901-20250930,1698202662,1698217736604,471,30
20250901-20250930,1719571148,1698217737817,470,30
20250901-20250930,1749463700,1698217740920,469,30
20250901-20250930,1713329090,1698217742827,467,30
20250901-20250930,1755246422,1698217743159,456,21
20250901-20250930,1749463700,1698217739258,454,30
20250901-20250930,1751602642,1698217740574,453,30
20250901-20250930,1751602642,1698217740566,445,30
20250901-20250930,1756280066,1698217743581,445,30
20250901-20250930,1713329090,1698217740879,439,30
20250901-20250930,1742289481,1698217739004,432,30
20250901-20250930,1698202251,1698217736485,428,30
20250901-20250930,1755246422,1698217743169,427,21
20250901-20250930,1698202251,1698217737265,427,30
20250901-20250930,1757302420,1698217743933,424,22
20250901-20250930,1716179958,1698217739009,417,30
20250901-20250930,1741762027,1698217744542,416,5
20250901-20250930,1698203058,1698217740111,415,30
20250901-20250930,1713329090,1698217737150,414,30
20250901-20250930,1750762420,1698217740198,410,30
20250901-20250930,1698203058,1698217740467,407,30
20250901-20250930,1752566036,1698217741545,400,30
20250901-20250930,1749463700,1698217739282,400,30
20250901-20250930,1749463700,1698217739278,397,30
20250901-20250930,1747388774,1698217739137,395,30
20250901-20250930,1755248023,1698217743213,393,30
20250901-20250930,1755248023,1698217743211,393,30
20250901-20250930,1698203058,1698217737568,390,30
20250901-20250930,1737978166,1698217738767,387,30
20250901-20250930,1713329090,1698217736890,387,30
20250901-20250930,1741932733,1698217740516,381,30
20250901-20250930,1751602642,1698217740563,378,30
20250901-20250930,1756280066,1698217743576,374,30
20250901-20250930,1698202251,1698217736845,367,30
20250901-20250930,1749463700,1698217741350,359,30
20250901-20250930,1698202251,1698217736271,357,30
20250901-20250930,1749463700,1698217740818,352,30
20250901-20250930,1755248023,1698217743214,350,30
20250901-20250930,1713329090,1698217744512,350,6
20250901-20250930,1751602642,1698217741942,344,30
20250901-20250930,1698202662,1698217737128,343,30
20250901-20250930,1698202251,1698217737229,341,30
20250901-20250930,1698203058,1698217741855,341,30
20250901-20250930,1756280066,1698217743579,335,30
20250901-20250930,1756280066,1698217743584,334,30
20250901-20250930,1751632483,1698217741203,330,29
20250901-20250930,1698203058,1698217741611,325,30
20250901-20250930,1751632483,1698217741229,323,30
20250901-20250930,1751602642,1698217740846,321,30
20250901-20250930,1750762420,1698217740226,320,30
20250901-20250930,1750762420,1698217740220,315,30
20250901-20250930,1741932733,1698217738845,315,30
20250901-20250930,1741932733,1698217743239,314,18
20250901-20250930,1698203058,1698217739160,314,30
20250901-20250930,1698202251,1698217736789,304,30
20250901-20250930,1751602642,1698217741698,304,30
20250901-20250930,1698203058,1698217743757,303,28
20250901-20250930,1740973068,1698217738795,300,12
20250901-20250930,1755248023,1698217743231,299,30
20250901-20250930,1751602642,1698217740568,298,30
20250901-20250930,1751602642,1698217740569,297,30
20250901-20250930,1713329090,1698217736877,297,30
20250901-20250930,1751602642,1698217742896,296,22
20250901-20250930,1749463700,1698217742868,295,30
20250901-20250930,1749463700,1698217739468,286,30
20250901-20250930,1755246422,1698217743177,284,21
20250901-20250930,1713329090,1698217737548,283,30
20250901-20250930,1755248023,1698217743207,277,30
20250901-20250930,1752566036,1698217741540,276,30
20250901-20250930,1698203058,1698217736490,276,30
20250901-20250930,1752566036,1698217741551,275,30
20250901-20250930,1741932733,1698217738847,271,28
20250901-20250930,1741762027,1698217738811,270,30
20250901-20250930,1698203058,1698217742809,268,30
20250901-20250930,1750762420,1698217740204,267,30
20250901-20250930,1752566036,1698217741527,261,30
20250901-20250930,1757302420,1698217743938,261,23
20250901-20250930,1756280066,1698217743599,260,30
20250901-20250930,1751632483,1698217741206,259,29
20250901-20250930,1698202251,1698217737563,259,30
20250901-20250930,1755248023,1698217743224,259,30
20250901-20250930,1716179958,1698217739186,259,30
20250901-20250930,1713329090,1698217736883,256,30
20250901-20250930,1719571148,1698217740499,249,30
20250901-20250930,1751602642,1698217740571,241,30
20250901-20250930,1755246422,1698217743196,240,20
20250901-20250930,1755246422,1698217743187,238,20
20250901-20250930,1755248023,1698217743228,236,30
20250901-20250930,1751602642,1698217740556,236,30
20250901-20250930,1750762420,1698217740547,235,29
20250901-20250930,1755248023,1698217743241,234,30
20250901-20250930,1755246422,1698217743173,233,20
20250901-20250930,1755248023,1698217743203,232,30
20250901-20250930,1755246422,1698217743182,231,20
20250901-20250930,1756280066,1698217743573,226,30
20250901-20250930,1753174385,1698217741799,223,21
20250901-20250930,1698202662,1698217737029,222,30
20250901-20250930,1698203058,1698217744494,221,6
20250901-20250930,1749463700,1698217739281,220,30
20250901-20250930,1749463700,1698217739262,219,30
20250901-20250930,1754281426,1698217743060,217,30
20250901-20250930,1716179958,1698217737304,216,30
20250901-20250930,1698203058,1698217736510,213,30
20250901-20250930,1756280066,1698217743597,213,30
20250901-20250930,1698203058,1698217736019,212,30
20250901-20250930,1713329090,1698217736889,212,30
20250901-20250930,1741762027,1698217738823,211,30
20250901-20250930,1751602642,1698217740559,208,28
20250901-20250930,1757738096,1698217743605,206,14
20250901-20250930,1749463700,1698217739268,206,30
20250901-20250930,1746793106,1698217739077,205,30
20250901-20250930,1741932733,1698217738866,203,30
20250901-20250930,1754281426,1698217743045,203,29
20250901-20250930,1746793106,1698217739078,202,30
20250901-20250930,1752566036,1698217741542,202,30
20250901-20250930,1698202251,1698217737127,197,30
20250901-20250930,1698202251,1698217736603,192,30
20250901-20250930,1741932733,1698217738840,191,30
20250901-20250930,1756280066,1698217743583,191,30
20250901-20250930,1755246422,1698217743207,190,8
20250901-20250930,1741932733,1698217743203,188,18
20250901-20250930,1741932733,1698217738849,188,30
20250901-20250930,1756280066,1698217743596,188,30
20250901-20250930,1756280066,1698217743600,187,29
20250901-20250930,1755246422,1698217743157,185,21
20250901-20250930,1755248023,1698217743232,180,29
20250901-20250930,1741932733,1698217738859,180,30
20250901-20250930,1751632483,1698217741210,178,30
20250901-20250930,1716179958,1698217739012,177,30
20250901-20250930,1749463700,1698217740170,176,30
20250901-20250930,1741932733,1698217738851,174,30
20250901-20250930,1747388774,1698217739141,172,30
20250901-20250930,1751632483,1698217741220,172,28
20250901-20250930,1755246422,1698217743179,170,20
20250901-20250930,1713329090,1698217744677,168,2
20250901-20250930,1719571148,1698217737806,168,27
20250901-20250930,1698203058,1698217736231,168,30
20250901-20250930,1740973068,1698217738791,167,12
20250901-20250930,1723801345,1698217738130,165,30
20250901-20250930,1741762027,1698217738817,163,30
20250901-20250930,1741932733,1698217738839,163,30
20250901-20250930,1749463700,1698217739263,157,30
20250901-20250930,1723801345,1698217738117,154,30
20250901-20250930,1713329090,1698217736886,154,29
20250901-20250930,1751602642,1698217740948,153,30
20250901-20250930,1751632483,1698217743855,153,24
20250901-20250930,1698202251,1698217736396,153,30
20250901-20250930,1755246422,1698217743197,153,18
20250901-20250930,1754281426,1698217743031,152,27
20250901-20250930,1747388774,1698217739145,151,30
20250901-20250930,1752566036,1698217741543,151,30
